dat;M_max;Overflow penalty;Overflow with variable serv time;Dist with variable serv time;Obj with variable serv time;Overflow with constant serv time;Dist with constant serv time;Obj with constant serv time;Does the route change?
abs5n5,dat;2;10;84;3445,52;4285,5190;84;3445,52;4285,5190;No
abs1n10,dat;1;50;15;5366,15;6116,1460;15;5366,15;6116,1460;No
abs1n10,dat;1;30;15;5366,15;5816,1460;15;5366,15;5816,1460;No
abs1n10,dat;1;10;38;4719,28;5099,2820;38;4701,27;5081,2660;Yes
abs2n10,dat;1;50;21;7548,72;8598,7220;21;7548,72;8598,7220;No
abs2n10,dat;1;30;27;7337,16;8147,1650;27;7337,16;8147,1650;No
abs2n10,dat;1;10;149;5915,54;7405,5360;50;6800,96;7300,9630;Yes
abs2n10,dat;2;50;22;10439,66;11539,6610;22;10439,66;11539,6610;No
abs2n10,dat;2;30;22;10439,66;11099,6610;22;10439,66;11099,6610;No
abs2n10,dat;2;10;141;8943,30;10353,3050;141;8943,30;10353,3050;No
abs3n10,dat;1;50;11;5365,52;5915,5180;11;5365,52;5915,5180;No
abs3n10,dat;1;30;15;5239,44;5689,4440;15;5239,44;5689,4440;No
abs3n10,dat;1;10;91;4003,77;4913,7690;75;4156,78;4906,7810;Yes
abs3n10,dat;2;50;12;6589,97;7189,9680;12;6589,97;7189,9680;No
abs3n10,dat;2;30;12;6589,97;6949,9680;12;6589,97;6949,9680;No
abs3n10,dat;2;10;70;5571,67;6271,6730;70;5571,67;6271,6730;No
abs4n10,dat;1;50;18;7844,38;8744,3770;18;7844,38;8744,3770;No
abs4n10,dat;1;30;26;7538,88;8318,8790;32;7269,17;8229,1700;Yes
abs4n10,dat;1;10;129;5745,77;7035,7660;129;5745,77;7035,7660;No
abs4n10,dat;2;50;15;9989,52;10739,5180;15;9989,52;10739,5180;No
abs5n10,dat;1;50;16;5868,80;6668,8020;15;5870,53;6620,5310;Yes
abs5n10,dat;1;30;24;5535,63;6255,6250;24;5535,63;6255,6250;No
abs5n10,dat;1;10;74;4698,54;5438,5420;74;4698,54;5438,5420;No
abs5n10,dat;2;50;11;7450,12;8000,1220;11;7450,12;8000,1220;No
abs5n10,dat;2;10;73;6186,05;6916,0520;73;6186,05;6916,0520;No
abs1n15,dat;1;50;23;7703,24;8853,2390;16;8048,70;8848,6990;Yes
abs1n15,dat;1;30;32;7385,26;8345,2570;32;7385,26;8345,2570;No
abs1n15,dat;1;10;134;5862,00;7201,9990;114;5953,27;7093,2710;Yes
abs1n15,dat;2;50;10;9626,76;10126,7580;10;9626,76;10126,7580;No
abs2n15,dat;1;50;26;6801,77;8101,7730;26;6801,77;8101,7730;No
abs2n15,dat;1;30;26;6801,77;7581,7730;34;6454,41;7474,4150;Yes
abs2n15,dat;1;10;53;6268,32;6798,3170;46;6207,61;6667,6100;Yes
abs2n15,dat;2;50;20;8032,81;9032,8140;20;8032,81;9032,8140;No
abs2n15,dat;2;30;22;7970,37;8630,3740;22;7970,37;8630,3740;No
abs2n15,dat;2;10;99;6936,68;7926,6760;99;6936,68;7926,6760;No
abs3n15,dat;1;50;31;7121,36;8671,3640;31;7121,36;8671,3640;No
abs3n15,dat;1;30;38;6809,45;7949,4510;38;6809,45;7949,4510;No
abs3n15,dat;1;10;46;6602,84;7062,8410;46;6602,84;7062,8410;No
abs3n15,dat;2;30;34;8727,52;9747,5250;34;8727,52;9747,5250;No
abs3n15,dat;2;10;70;8161,36;8861,3610;70;8161,36;8861,3610;No
abs4n15,dat;1;50;11;7155,22;7705,2170;18;6743,45;7643,4540;Yes
abs4n15,dat;1;30;30;6446,80;7346,7950;32;6269,29;7229,2940;Yes
abs4n15,dat;1;10;96;5565,29;6525,2900;62;5724,36;6344,3590;Yes
abs4n15,dat;2;50;15;7810,59;8560,5940;15;7810,59;8560,5940;No
abs4n15,dat;2;30;33;7223,55;8213,5510;33;7223,55;8213,5510;No
abs5n15,dat;1;50;16;6421,33;7221,3340;15;6445,47;7195,4680;Yes
abs5n15,dat;1;30;16;6421,33;6901,3340;18;6334,62;6874,6190;Yes
abs5n15,dat;1;10;49;5818,11;6308,1100;97;5176,73;6146,7290;Yes
abs1n20,dat;1;50;11;10380,45;10930,4500;11;10376,09;10926,0910;Yes
abs1n20,dat;1;30;29;9743,83;10613,8270;69;8205,80;10275,7980;Yes
abs1n20,dat;1;10;96;8680,70;9640,7000;175;6807,71;8557,7150;Yes
abs2n20,dat;1;50;27;7333,20;8683,2020;27;7333,20;8683,2020;No
abs2n20,dat;1;30;48;6635,71;8075,7080;48;6635,71;8075,7080;No
abs2n20,dat;1;10;60;6511,80;7111,8000;60;6511,80;7111,8000;No
abs2n20,dat;2;30;39;8033,66;9203,6550;39;8033,66;9203,6560;Yes
abs3n20,dat;1;50;16;8922,71;9722,7140;16;8922,71;9722,7140;No
abs3n20,dat;1;30;47;7690,98;9100,9790;39;7892,96;9062,9610;Yes
abs3n20,dat;1;10;116;6684,14;7844,1450;92;6736,91;7656,9090;Yes
abs4n20,dat;1;50;13;10488,12;11138,1240;21;9797,37;10847,3730;Yes
abs4n20,dat;1;30;49;8996,68;10466,6780;46;8877,49;10257,4870;Yes
abs4n20,dat;1;10;98;8419,85;9399,8480;125;7760,54;9010,5390;Yes
abs5n20,dat;1;50;8;11063,90;11463,9010;8;11050,25;11450,2470;Yes
abs5n20,dat;1;30;12;10875,98;11235,9760;28;10135,03;10975,0320;Yes
abs5n20,dat;1;10;110;8949,41;10049,4120;142;7740,90;9160,8950;Yes
abs5n20,dat;2;50;8;12338,79;12738,7880;8;12338,79;12738,7880;No
abs1n25,dat;1;50;9;9231,94;9681,9380;9;9207,48;9657,4770;Yes
abs1n25,dat;1;30;17;8856,31;9366,3060;36;8262,88;9342,8850;Yes
abs1n25,dat;1;10;57;8003,63;8573,6280;75;7519,01;8269,0120;Yes
abs2n25,dat;1;30;78;10784,81;13124,8070;52;10853,66;12413,6610;Yes
abs2n25,dat;1;10;78;10784,81;11564,8070;213;8309,30;10439,2970;Yes
abs3n25,dat;1;50;29;11157,14;12607,1390;20;11381,66;12381,6560;Yes
abs3n25,dat;1;30;54;10180,57;11800,5660;51;9983,24;11513,2410;Yes
abs3n25,dat;1;10;146;9010,37;10470,3650;156;7703,42;9263,4170;Yes
abs4n25,dat;1;50;17;11665,14;12515,1420;13;11730,75;12380,7510;Yes
abs4n25,dat;1;30;23;11421,38;12111,3850;84;9377,86;11897,8580;Yes
abs4n25,dat;1;10;78;10094,67;10874,6690;201;7511,79;9521,7890;Yes
abs3n30,dat;1;50;14;9876,66;10576,6590;18;9565,40;10465,4040;Yes
abs3n30,dat;1;30;51;8446,28;9976,2830;43;8460,50;9750,4970;Yes
abs3n30,dat;1;10;101;7583,19;8593,1850;102;7285,49;8305,4920;Yes
abs4n30,dat;1;30;52;10071,63;11631,6250;38;10249,62;11389,6170;Yes
abs4n30,dat;1;10;53;10059,82;10589,8190;61;9827,54;10437,5420;Yes
