dat;n;p;M_max;Q;Overflow penalty;Time;Obj;GAP;Overflow;Dist;Route Time;% Collected;Avg Visit;Route;Nodes
abs4n5,dat;4;5;1;163;10;0,14;2232,364;0,00%;36;1872,36;[[0], [3,12], [3,92], [0], [0]];85,00%;1,75;[[], [[0, 3, 2, 4, 5, 0]], [[0, 3, 2, 1, 4, 5, 0]], [], []];36
abs4n5,dat;4;5;2;82;50;0,36;3072,012;0,00%;7;2722,01;[[2,01, 0], [0, 2,46], [1,69, 2,51], [0, 0], [0, 0]];66,11%;2,25;[[[0, 3, 2, 1, 5, 0]], [[0, 3, 4, 5, 0]], [[0, 3, 2, 5, 0], [0, 1, 4, 5, 0]], [], []];111
abs4n5,dat;4;5;2;82;30;0,28;2932,012;0,00%;7;2722,01;[[2,01, 0], [0, 2,46], [2,51, 1,69], [0, 0], [0, 0]];66,11%;2,25;[[[0, 3, 2, 1, 5, 0]], [[0, 3, 4, 5, 0]], [[0, 1, 4, 5, 0], [0, 3, 2, 5, 0]], [], []];159
abs4n5,dat;4;5;2;82;10;0,4;2770,532;0,00%;46;2310,53;[[2,01, 0], [0, 2,51], [1,05, 1,96], [0, 0], [0, 0]];67,50%;2;[[[0, 3, 2, 1, 5, 0]], [[0, 1, 4, 5, 0]], [[0, 3, 5, 0], [0, 2, 1, 5, 0]], [], []];373
abs5n5,dat;4;5;1;122;50;0,03;1469,577;0,00%;2;1369,58;[[0], [2,45], [1,96], [0], [0]];83,00%;1,25;[[], [[0, 4, 2, 5, 0]], [[0, 1, 4, 3, 5, 0]], [], []];1
abs5n5,dat;4;5;1;122;30;0,05;1429,577;0,00%;2;1369,58;[[0], [1,96], [2,45], [0], [0]];78,00%;1,25;[[], [[0, 1, 4, 3, 5, 0]], [[0, 4, 2, 5, 0]], [], []];1
abs5n5,dat;4;5;1;122;10;0,05;1389,577;0,00%;2;1369,58;[[0], [1,96], [2,45], [0], [0]];78,00%;1,25;[[], [[0, 1, 4, 3, 5, 0]], [[0, 4, 2, 5, 0]], [], []];1
abs5n5,dat;4;5;2;61;50;0,37;2237,908;0,00%;2;2137,91;[[0, 1,7], [2,54, 1,3], [1,41, 0], [0, 0], [0, 0]];60,83%;1,5;[[[0, 1, 4, 5, 0]], [[0, 1, 2, 5, 0], [0, 3, 5, 0]], [[0, 4, 5, 0]], [], []];174
abs5n5,dat;4;5;2;61;30;0,37;2197,908;0,00%;2;2137,91;[[0, 1,7], [2,54, 0], [1,3, 1,41], [0, 0], [0, 0]];65,83%;1,5;[[[0, 1, 4, 5, 0]], [[0, 1, 2, 5, 0]], [[0, 3, 5, 0], [0, 4, 5, 0]], [], []];277
abs5n5,dat;4;5;2;61;10;0,3;1929,137;0,00%;96;969,14;[[0, 0], [1,41, 1,79], [0, 0], [0, 0], [0, 0]];78,89%;0,75;[[], [[0, 4, 5, 0], [0, 1, 3, 5, 0]], [], [], []];72
abs1n10,dat;9;5;1;301;50;0,25;3350,633;0,00%;20;2350,63;[[0], [3,02], [3,61], [0], [0]];81,13%;1,56;[[], [[0, 4, 9, 2, 1, 6, 10, 0]], [[0, 4, 5, 8, 6, 7, 3, 1, 2, 9, 10, 0]], [], []];13
abs1n10,dat;9;5;1;301;30;0,25;2950,633;0,00%;20;2350,63;[[0], [3,02], [3,61], [0], [0]];81,13%;1,56;[[], [[0, 4, 9, 2, 1, 6, 10, 0]], [[0, 4, 5, 8, 6, 7, 3, 1, 2, 9, 10, 0]], [], []];1
abs1n10,dat;9;5;1;301;10;0,22;2550,633;0,00%;20;2350,63;[[0], [3,02], [3,61], [0], [0]];81,13%;1,56;[[], [[0, 4, 9, 2, 1, 6, 10, 0]], [[0, 4, 5, 8, 6, 7, 3, 1, 2, 9, 10, 0]], [], []];9
abs1n10,dat;9;5;2;151;50;12,35;4192,635;0,00%;11;3642,64;[[2,16, 0], [2,7, 0], [1,72, 3,01], [0, 0], [0, 0]];61,44%;2;[[[0, 4, 9, 2, 3, 1, 10, 0]], [[0, 9, 1, 3, 7, 6, 10, 0]], [[0, 4, 9, 2, 10, 0], [0, 5, 8, 6, 7, 1, 10, 0]], [], []];4281
abs1n10,dat;9;5;2;151;30;19,25;3929,471;0,00%;19;3359,47;[[2,04, 0], [2,59, 0], [2,48, 1,72], [0, 0], [0, 0]];71,44%;1,67;[[[0, 4, 9, 2, 1, 10, 0]], [[0, 4, 5, 8, 6, 10, 0]], [[0, 1, 3, 7, 6, 10, 0], [0, 4, 9, 2, 10, 0]], [], []];7061
abs1n10,dat;9;5;2;151;10;23,92;3549,471;0,00%;19;3359,47;[[0, 2,04], [2,59, 0], [1,72, 2,48], [0, 0], [0, 0]];71,44%;1,67;[[[0, 4, 9, 2, 1, 10, 0]], [[0, 4, 5, 8, 6, 10, 0]], [[0, 4, 9, 2, 10, 0], [0, 1, 3, 7, 6, 10, 0]], [], []];7522
abs2n10,dat;9;5;1;290;50;0,17;4103,636;0,00%;12;3503,64;[[0], [3,35], [3,92], [0], [0]];79,52%;1,56;[[], [[0, 2, 3, 5, 8, 9, 6, 10, 0]], [[0, 1, 3, 7, 5, 8, 9, 6, 4, 10, 0]], [], []];7
abs2n10,dat;9;5;1;290;30;0,25;3863,636;0,00%;12;3503,64;[[0], [3,35], [3,92], [0], [0]];79,52%;1,56;[[], [[0, 2, 3, 5, 8, 9, 6, 10, 0]], [[0, 1, 3, 7, 5, 8, 9, 6, 4, 10, 0]], [], []];1
abs2n10,dat;9;5;1;290;10;0,3;3508,877;0,00%;31;3198,88;[[0], [3,6], [3,79], [0], [0]];82,69%;1,44;[[], [[0, 2, 4, 3, 8, 9, 6, 10, 0]], [[0, 1, 3, 7, 5, 8, 9, 6, 10, 0]], [], []];24
abs2n10,dat;9;5;2;145;50;1,21;5699,54;0,00%;12;5099,54;[[0, 0], [2,52, 2,27], [2,78, 2,8], [0, 0], [0, 0]];79,88%;1,56;[[], [[0, 5, 8, 9, 10, 0], [0, 1, 3, 6, 10, 0]], [[0, 3, 2, 4, 10, 0], [0, 7, 5, 8, 9, 6, 10, 0]], [], []];563
abs2n10,dat;9;5;2;145;30;2,09;5459,54;0,00%;12;5099,54;[[0, 0], [2,52, 2,27], [2,78, 2,8], [0, 0], [0, 0]];79,88%;1,56;[[], [[0, 5, 8, 9, 10, 0], [0, 1, 3, 6, 10, 0]], [[0, 3, 2, 4, 10, 0], [0, 7, 5, 8, 9, 6, 10, 0]], [], []];699
abs2n10,dat;9;5;2;145;10;6,71;5068,246;0,00%;144;3628,25;[[0, 0], [2,68, 2,36], [0, 2,47], [0, 0], [0, 0]];78,48%;1,22;[[], [[0, 7, 5, 8, 10, 0], [0, 3, 9, 6, 10, 0]], [[0, 1, 3, 8, 9, 6, 10, 0]], [], []];3281
abs3n10,dat;9;5;1;311;50;0,22;3162,239;0,00%;12;2562,24;[[0], [3,68], [2,84], [0], [0]];73,81%;1,56;[[], [[0, 1, 8, 2, 6, 5, 3, 9, 10, 0]], [[0, 8, 7, 2, 6, 5, 4, 9, 10, 0]], [], []];14
abs3n10,dat;9;5;1;311;30;0,22;2922,239;0,00%;12;2562,24;[[0], [3,68], [2,84], [0], [0]];73,81%;1,56;[[], [[0, 1, 8, 2, 6, 5, 3, 9, 10, 0]], [[0, 8, 7, 2, 6, 5, 4, 9, 10, 0]], [], []];1
abs3n10,dat;9;5;1;311;10;0,18;2672,82;0,00%;13;2542,82;[[0], [2,84], [3,59], [0], [0]];77,56%;1,44;[[], [[0, 8, 2, 6, 5, 3, 9, 10, 0]], [[0, 1, 8, 7, 2, 6, 5, 4, 10, 0]], [], []];1
abs3n10,dat;9;5;2;156;50;6,22;3931,631;0,00%;8;3531,63;[[2,12, 0], [0, 2,4], [2,33, 1,83], [0, 0], [0, 0]];68,89%;1,67;[[[0, 8, 2, 6, 5, 10, 0]], [[0, 1, 4, 3, 9, 10, 0]], [[0, 7, 8, 4, 9, 10, 0], [0, 2, 6, 5, 10, 0]], [], []];2753
abs3n10,dat;9;5;2;156;30;8,28;3704,666;0,00%;12;3344,67;[[0, 0], [1,71, 2,19], [1,85, 2,69], [0, 0], [0, 0]];75,24%;1,56;[[], [[0, 8, 5, 9, 10, 0], [0, 2, 6, 3, 10, 0]], [[0, 1, 4, 9, 10, 0], [0, 8, 7, 2, 6, 5, 10, 0]], [], []];3598
abs3n10,dat;9;5;2;156;10;2,75;3163,078;0,00%;57;2593,08;[[0, 0], [1,76, 2,19], [2,69, 0], [0, 0], [0, 0]];72,92%;1,33;[[], [[0, 8, 5, 4, 9, 10, 0], [0, 2, 6, 3, 10, 0]], [[0, 8, 7, 2, 6, 5, 10, 0]], [], []];686
abs4n10,dat;9;5;1;298;50;0,32;5117,863;0,00%;22;4017,86;[[2,12], [3,07], [3,83], [0], [0]];68,28%;1,89;[[[0, 6, 4, 2, 10, 0]], [[0, 9, 7, 5, 1, 3, 8, 10, 0]], [[0, 9, 7, 1, 3, 8, 6, 4, 2, 10, 0]], [], []];113
abs4n10,dat;9;5;1;298;30;0,35;4677,863;0,00%;22;4017,86;[[2,12], [3,07], [3,83], [0], [0]];68,28%;1,89;[[[0, 6, 4, 2, 10, 0]], [[0, 9, 7, 5, 1, 3, 8, 10, 0]], [[0, 9, 7, 1, 3, 8, 6, 4, 2, 10, 0]], [], []];79
abs4n10,dat;9;5;1;298;10;0,42;3845,115;0,00%;116;2685,12;[[0], [3,9], [2,48], [0], [0]];88,94%;1,22;[[], [[0, 9, 7, 5, 1, 3, 4, 2, 10, 0]], [[0, 6, 2, 4, 8, 10, 0]], [], []];199
abs4n10,dat;9;5;2;149;50;2,74;5701,049;0,00%;21;4651,05;[[3,3, 0], [0, 1,95], [2,12, 2,67], [0, 0], [0, 0]];68,33%;1,78;[[[0, 7, 5, 1, 3, 4, 2, 10, 0]], [[0, 9, 6, 8, 10, 0]], [[0, 6, 4, 2, 10, 0], [0, 7, 1, 3, 8, 10, 0]], [], []];1103
abs4n10,dat;9;5;2;149;30;2,64;5281,049;0,00%;21;4651,05;[[0, 3,3], [1,95, 0], [2,67, 2,12], [0, 0], [0, 0]];68,33%;1,78;[[[0, 7, 5, 1, 3, 4, 2, 10, 0]], [[0, 9, 6, 8, 10, 0]], [[0, 7, 1, 3, 8, 10, 0], [0, 6, 4, 2, 10, 0]], [], []];851
abs4n10,dat;9;5;2;149;10;10,56;4843,692;0,00%;178;3063,69;[[0, 0], [2,85, 1,96], [0, 3,57], [0, 0], [0, 0]];87,67%;1,11;[[], [[0, 7, 5, 1, 3, 10, 0], [0, 9, 6, 4, 10, 0]], [[0, 6, 4, 2, 10, 0]], [], []];3642
abs5n10,dat;9;5;1;314;50;0,22;3472,484;0,00%;6;3172,48;[[0], [3,85], [2,29], [2,68], [0]];89,23%;1,44;[[], [[0, 4, 5, 6, 8, 9, 7, 10, 0]], [[0, 2, 3, 4, 1, 10, 0]], [[0, 6, 8, 7, 10, 0]], []];29
abs5n10,dat;9;5;1;314;30;0,28;3197,959;0,00%;15;2747,96;[[0], [3,8], [3,79], [0], [0]];79,87%;1,44;[[], [[0, 4, 6, 8, 9, 7, 10, 0]], [[0, 8, 6, 5, 4, 1, 3, 2, 7, 10, 0]], [], []];3
abs5n10,dat;9;5;1;314;10;0,38;2873,808;0,00%;36;2513,81;[[0], [3,97], [3,01], [0], [0]];80,07%;1,33;[[], [[0, 2, 7, 9, 8, 6, 4, 10, 0]], [[0, 8, 6, 5, 4, 1, 3, 10, 0]], [], []];168
abs5n10,dat;9;5;2;157;50;7,98;4209,115;0,00%;6;3909,12;[[0, 0], [2,73, 2,56], [0, 2,76], [0, 2,68], [0, 0]];80,71%;1,56;[[], [[0, 8, 9, 7, 3, 10, 0], [0, 6, 5, 4, 10, 0]], [[0, 4, 1, 2, 7, 10, 0]], [[0, 6, 8, 7, 10, 0]], []];3111
abs5n10,dat;9;5;2;157;30;9,11;3973,371;0,00%;16;3493,37;[[0, 2,85], [2,11, 0], [2,63, 2,05], [0, 0], [0, 0]];74,10%;1,44;[[[0, 8, 6, 5, 4, 10, 0]], [[0, 2, 9, 7, 10, 0]], [[0, 6, 8, 7, 10, 0], [0, 4, 1, 3, 10, 0]], [], []];3431
abs5n10,dat;9;5;2;157;10;5,35;3543,051;0,00%;96;2583,05;[[0, 0], [2,29, 2,32], [0, 2,56], [0, 0], [0, 0]];85,75%;1,11;[[], [[0, 2, 3, 4, 1, 10, 0], [0, 8, 9, 7, 10, 0]], [[0, 6, 5, 4, 10, 0]], [], []];1585
abs1n15,dat;14;5;1;476;50;0,35;4750,053;0,00%;14;4050,05;[[2,18], [3,23], [3,93], [0], [0]];69,33%;1,79;[[[0, 7, 1, 14, 12, 13, 15, 0]], [[0, 7, 9, 8, 3, 2, 4, 14, 13, 15, 0]], [[0, 5, 8, 9, 6, 7, 11, 1, 4, 14, 10, 12, 13, 15, 0]], [], []];108
abs1n15,dat;14;5;1;476;30;1,25;4465,208;0,00%;20;3865,21;[[0], [3,72], [3,94], [1,59], [0]];84,92%;1,57;[[], [[0, 7, 9, 8, 11, 1, 4, 14, 12, 13, 15, 0]], [[0, 6, 9, 5, 8, 3, 2, 4, 14, 10, 12, 13, 15, 0]], [[0, 7, 1, 15, 0]], []];938
abs1n15,dat;14;5;1;476;10;0,55;3616,162;0,00%;54;3076,16;[[0], [3,72], [3,83], [0], [0]];81,23%;1,5;[[], [[0, 7, 9, 8, 11, 1, 4, 14, 12, 13, 15, 0]], [[0, 6, 7, 5, 8, 3, 2, 1, 4, 14, 10, 12, 13, 15, 0]], [], []];145
abs1n15,dat;14;5;2;238;50;15,96;5447,062;0,00%;14;4747,06;[[0, 2,57], [0, 3,15], [2,55, 2,74], [0, 0], [0, 0]];60,72%;2,07;[[[0, 5, 7, 11, 1, 4, 14, 12, 13, 15, 0]], [[0, 5, 8, 9, 7, 1, 14, 12, 13, 15, 0]], [[0, 7, 1, 4, 14, 10, 12, 13, 15, 0], [0, 11, 2, 3, 8, 9, 6, 15, 0]], [], []];2712
abs1n15,dat;14;5;2;238;30;24,37;5151,315;0,00%;16;4671,32;[[2,41, 0], [3,15, 0], [2,78, 2,47], [0, 0], [0, 0]];66,57%;1,86;[[[0, 7, 11, 1, 4, 14, 12, 13, 15, 0]], [[0, 5, 9, 8, 3, 14, 12, 13, 15, 0]], [[0, 7, 11, 2, 8, 9, 6, 15, 0], [0, 1, 4, 14, 10, 12, 13, 15, 0]], [], []];5398
abs1n15,dat;14;5;2;238;10;12,64;4518,292;0,00%;51;4008,29;[[0, 0], [2,4, 2,47], [2,21, 2,55], [0, 0], [0, 0]];81,59%;1,5;[[], [[0, 7, 11, 14, 12, 13, 15, 0], [0, 8, 3, 2, 4, 1, 15, 0]], [[0, 5, 8, 9, 6, 15, 0], [0, 7, 1, 4, 14, 10, 12, 13, 15, 0]], [], []];1631
abs2n15,dat;14;5;1;451;50;0,38;4601,005;0,00%;17;3751;[[2,41], [2,49], [3,67], [0], [0]];69,06%;1,71;[[[0, 3, 4, 9, 8, 1, 14, 15, 0]], [[0, 5, 11, 12, 13, 6, 2, 14, 15, 0]], [[0, 7, 11, 12, 13, 10, 14, 3, 4, 9, 8, 1, 15, 0]], [], []];129
abs2n15,dat;14;5;1;451;30;0,58;4213,89;0,00%;20;3613,89;[[2,11], [2,49], [3,67], [0], [0]];72,07%;1,64;[[[0, 3, 4, 8, 1, 14, 15, 0]], [[0, 5, 11, 12, 13, 6, 2, 14, 15, 0]], [[0, 7, 11, 12, 13, 10, 14, 3, 4, 9, 8, 1, 15, 0]], [], []];129
abs2n15,dat;14;5;1;451;10;0,77;3605,51;0,00%;48;3125,51;[[0], [3,71], [3,77], [0], [0]];81,83%;1,43;[[], [[0, 5, 11, 12, 13, 14, 3, 4, 8, 1, 15, 0]], [[0, 7, 11, 12, 13, 10, 6, 2, 14, 3, 9, 4, 15, 0]], [], []];281
abs2n15,dat;14;5;2;226;50;2,37;4925,464;0,00%;12;4325,46;[[3,35, 0], [1,91, 0], [2,44, 2,1], [0, 0], [0, 0]];62,41%;1,93;[[[0, 11, 12, 13, 14, 3, 4, 9, 8, 1, 15, 0]], [[0, 7, 10, 13, 6, 2, 14, 15, 0]], [[0, 7, 3, 4, 9, 8, 1, 15, 0], [0, 5, 11, 12, 13, 10, 14, 15, 0]], [], []];355
abs2n15,dat;14;5;2;226;30;6,41;4631,939;0,00%;19;4061,94;[[3,29, 0], [0, 1,6], [2,26, 2,09], [0, 0], [0, 0]];65,40%;1,79;[[[0, 5, 11, 12, 13, 10, 14, 3, 4, 8, 1, 15, 0]], [[0, 7, 14, 6, 2, 15, 0]], [[0, 3, 4, 9, 8, 1, 15, 0], [0, 7, 11, 12, 13, 10, 14, 15, 0]], [], []];850
abs2n15,dat;14;5;2;226;10;14,01;4184,54;0,00%;31;3874,54;[[0, 0], [2,32, 2,51], [2,47, 2,1], [0, 0], [0, 0]];78,89%;1,5;[[], [[0, 11, 12, 13, 14, 15, 0], [0, 3, 4, 9, 8, 1, 15, 0]], [[0, 7, 3, 4, 1, 6, 2, 15, 0], [0, 5, 11, 12, 13, 10, 14, 15, 0]], [], []];2089
abs3n15,dat;14;5;1;419;50;0,47;4896,41;0,00%;21;3846,41;[[0], [2,82], [3,34], [2,12], [0]];88,48%;1,57;[[], [[0, 14, 3, 10, 5, 12, 1, 13, 8, 15, 0]], [[0, 4, 3, 14, 7, 6, 11, 9, 2, 15, 0]], [[0, 3, 10, 12, 1, 13, 8, 15, 0]], []];113
abs3n15,dat;14;5;1;419;30;0,83;4476,41;0,00%;21;3846,41;[[0], [2,82], [3,34], [2,12], [0]];88,48%;1,57;[[], [[0, 14, 3, 10, 5, 12, 1, 13, 8, 15, 0]], [[0, 4, 3, 14, 7, 6, 11, 9, 2, 15, 0]], [[0, 3, 10, 12, 1, 13, 8, 15, 0]], []];308
abs3n15,dat;14;5;1;419;10;0,47;3718,647;0,00%;51;3208,65;[[0], [3,0], [4,0], [0], [0]];78,50%;1,43;[[], [[0, 4, 14, 3, 10, 5, 12, 1, 13, 8, 15, 0]], [[0, 12, 1, 10, 3, 14, 7, 6, 11, 9, 2, 8, 15, 0]], [], []];51
abs3n15,dat;14;5;2;210;50;1,69;5340,42;0,00%;16;4540,42;[[2,52, 0], [2,52, 0], [1,98, 2,2], [0, 0], [0, 0]];64,41%;1,71;[[[0, 14, 3, 10, 5, 12, 1, 13, 8, 15, 0]], [[0, 3, 14, 11, 9, 2, 8, 15, 0]], [[0, 10, 12, 1, 13, 8, 15, 0], [0, 4, 3, 14, 7, 6, 15, 0]], [], []];302
abs3n15,dat;14;5;2;210;30;4,73;5020,42;0,00%;16;4540,42;[[0, 2,52], [0, 2,52], [1,98, 2,2], [0, 0], [0, 0]];64,41%;1,71;[[[0, 14, 3, 10, 5, 12, 1, 13, 8, 15, 0]], [[0, 3, 14, 11, 9, 2, 8, 15, 0]], [[0, 10, 12, 1, 13, 8, 15, 0], [0, 4, 3, 14, 7, 6, 15, 0]], [], []];981
abs3n15,dat;14;5;2;210;10;7,32;4508,225;0,00%;26;4248,22;[[0, 0], [2,54, 2,07], [2,2, 2,04], [0, 0], [0, 0]];79,79%;1,43;[[], [[0, 3, 14, 11, 9, 2, 15, 0], [0, 12, 1, 13, 8, 15, 0]], [[0, 4, 3, 14, 7, 6, 15, 0], [0, 5, 10, 12, 1, 13, 8, 15, 0]], [], []];831
abs4n15,dat;14;5;1;486;50;0,62;4337,411;0,00%;16;3537,41;[[2,53], [2,55], [3,61], [0], [0]];69,40%;1,79;[[[0, 7, 8, 1, 10, 13, 2, 14, 15, 0]], [[0, 5, 9, 14, 11, 12, 3, 15, 0]], [[0, 5, 9, 14, 11, 4, 6, 13, 10, 1, 8, 7, 2, 15, 0]], [], []];101
abs4n15,dat;14;5;1;486;30;0,62;3972,084;0,00%;20;3372,08;[[1,02], [3,58], [3,87], [0], [0]];73,54%;1,71;[[[0, 2, 14, 15, 0]], [[0, 5, 9, 14, 11, 6, 13, 1, 8, 7, 15, 0]], [[0, 5, 9, 14, 4, 11, 12, 3, 13, 10, 1, 8, 7, 2, 15, 0]], [], []];225
abs4n15,dat;14;5;1;486;10;1,03;3351,834;0,00%;86;2491,83;[[0], [3,52], [3,79], [0], [0]];84,78%;1,36;[[], [[0, 5, 9, 14, 6, 13, 10, 1, 8, 7, 2, 15, 0]], [[0, 5, 9, 14, 11, 12, 3, 4, 2, 7, 15, 0]], [], []];439
abs4n15,dat;14;5;2;243;50;14,67;4637,532;0,00%;16;3837,53;[[0, 2,59], [0, 2,55], [2,37, 1,97], [0, 0], [0, 0]];66,73%;1,86;[[[0, 7, 8, 1, 10, 13, 6, 2, 14, 15, 0]], [[0, 5, 9, 14, 11, 12, 3, 15, 0]], [[0, 7, 8, 1, 10, 13, 6, 15, 0], [0, 5, 9, 14, 11, 4, 2, 15, 0]], [], []];1231
abs4n15,dat;14;5;2;243;30;12,26;4317,532;0,00%;16;3837,53;[[0, 2,59], [2,55, 0], [1,97, 2,37], [0, 0], [0, 0]];66,73%;1,86;[[[0, 7, 8, 1, 10, 13, 6, 2, 14, 15, 0]], [[0, 5, 9, 14, 11, 12, 3, 15, 0]], [[0, 5, 9, 14, 11, 4, 2, 15, 0], [0, 7, 8, 1, 10, 13, 6, 15, 0]], [], []];1395
abs4n15,dat;14;5;2;243;10;47,66;3869,001;0,00%;43;3439;[[0, 0], [3,25, 1,62], [2,27, 1,63], [0, 0], [0, 0]];80,83%;1,5;[[], [[0, 7, 1, 13, 3, 12, 11, 15, 0], [0, 5, 9, 14, 2, 15, 0]], [[0, 7, 8, 1, 10, 13, 6, 15, 0], [0, 5, 9, 14, 4, 2, 15, 0]], [], []];5837
abs5n15,dat;14;5;1;498;50;0,73;4177,136;0,00%;26;2877,14;[[0], [3,83], [3,91], [0], [0]];76,63%;1,64;[[], [[0, 8, 12, 13, 2, 5, 14, 6, 3, 1, 9, 15, 0]], [[0, 10, 7, 8, 13, 11, 2, 5, 14, 4, 6, 3, 1, 9, 15, 0]], [], []];454
abs5n15,dat;14;5;1;498;30;0,59;3657,136;0,00%;26;2877,14;[[0], [3,77], [3,96], [0], [0]];77,86%;1,64;[[], [[0, 8, 13, 2, 5, 14, 6, 3, 1, 9, 15, 0]], [[0, 10, 7, 8, 12, 13, 11, 2, 5, 14, 4, 6, 3, 1, 9, 15, 0]], [], []];231
